Name,Method,Dim,N_sample,nList,nprobe,DB Size (GB),Total,Time kNN,Recall@10,Train time,Add time,Move time
SK-100M-12d,brute,12.0,100000000.0,0.0,0.0,4.8,31.07845973968506,31.07845973968506,-,,,
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,5.0,4.8,615.7686505317688,232.11254620552063,0.36287,264.9864852428436,101.65275359153748,17.016865491867065
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,10.0,4.8,711.6213808059692,327.96527647972107,0.51524,264.9864852428436,101.65275359153748,17.016865491867065
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,25.0,4.8,857.3431587219238,473.68705439567566,0.70793,264.9864852428436,101.65275359153748,17.016865491867065
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,50.0,4.8,956.109308242798,572.4532039165497,0.77549,264.9864852428436,101.65275359153748,17.016865491867065
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,75.0,4.8,1078.684847831726,695.0287435054779,0.78537,264.9864852428436,101.65275359153748,17.016865491867065
SK-100M-12d,ivfpq,12.0,100000000.0,65536.0,100.0,4.8,1202.8675191402435,819.2114148139954,0.78812,264.9864852428436,101.65275359153748,17.016865491867065
SK-200M-12d,brute,12.0,200000000.0,0.0,0.0,9.6,60.321425437927246,60.321425437927246,-,,,
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,5.0,9.6,1022.9965651035308,539.6234059333801,0.3955,265.65997672080994,191.72876811027527,25.98441433906555
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,10.0,9.6,1300.4413924217224,817.0682332515717,0.55175,265.65997672080994,191.72876811027527,25.98441433906555
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,25.0,9.6,1518.7065596580503,1035.3334004878998,0.72731,265.65997672080994,191.72876811027527,25.98441433906555
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,50.0,9.6,1871.9220106601715,1388.5488514900208,0.77481,265.65997672080994,191.72876811027527,25.98441433906555
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,75.0,9.6,2248.6032598018646,1765.230100631714,0.78049,265.65997672080994,191.72876811027527,25.98441433906555
SK-200M-12d,ivfpq,12.0,200000000.0,65536.0,100.0,9.6,2649.752258300781,2166.3790991306305,0.78166,265.65997672080994,191.72876811027527,25.98441433906555
SK-300M-12d,brute,12.0,300000000.0,0.0,0.0,14.4,89.8414421081543,89.8414421081543,-,,,
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,5.0,14.4,1550.6966893672943,970.0518391132356,0.41294,265.8349850177765,279.7559952735901,35.05386996269226
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,10.0,14.4,1929.6001524925232,1348.9553022384644,0.57005,265.8349850177765,279.7559952735901,35.05386996269226
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,25.0,14.4,2302.507549762726,1721.862699508667,0.72956,265.8349850177765,279.7559952735901,35.05386996269226
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,50.0,14.4,3062.252138853073,2481.6072885990143,0.76731,265.8349850177765,279.7559952735901,35.05386996269226
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,75.0,14.4,3865.4894630908966,3284.8446128368378,0.77082,265.8349850177765,279.7559952735901,35.05386996269226
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,100.0,14.4,4684.11039018631,4103.465539932251,0.77129,265.8349850177765,279.7559952735901,35.05386996269226
SK-400M-12d,brute,12.0,400000000.0,0.0,0.0,19.2,116.78277325630188,116.78277325630188,-,,,
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,5.0,19.2,6354.259297847748,1694.6690299510956,0.35051,3405.9772572517395,1179.6557590961456,73.95725154876709
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,10.0,19.2,6507.230690717697,1847.640422821045,0.49308,3405.9772572517395,1179.6557590961456,73.95725154876709
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,25.0,19.2,6786.226094961166,2126.635827064514,0.69457,3405.9772572517395,1179.6557590961456,73.95725154876709
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,50.0,19.2,7311.5756323337555,2651.9853644371033,0.77865,3405.9772572517395,1179.6557590961456,73.95725154876709
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,75.0,19.2,7853.431660652161,3193.8413927555084,0.79513,3405.9772572517395,1179.6557590961456,73.95725154876709
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,100.0,19.2,8413.567478895187,3753.977210998535,0.80021,3405.9772572517395,1179.6557590961456,73.95725154876709

